,title,date,content
0,펄어비스 도깨비 게임 플레이 분석,5일 전,"게임 속 세상에서 다시 동심을 찾을 수 있는 요소를 가져 남녀노소 할 것 없이 게임을 즐길 수 있다는 게 장점이라 생각한다. 앞으로 펄어비스 도깨비가 잘 개발되었으면 좋겠다. 그럼, 이만."
1,펄어비스 도깨비 총정리 주가를 떡상시킨 게임 DokeV,3일 전,지난 게임스컴 행사에서 공개된 펄어비스 신작 게임 도깨비(DokeV)의 게임 플레이 트레일러 영상이 화제를 모았다. 해당 영상 조회 수는 300만을 가뿐히 넘겼고 갓 오브 워 디렉터를 비롯한 해외 유명 개발자들도 극찬을...
2,[펄어비스] 도깨비 극찬! 붉은사막 대작 기대! 신작으로 기대감 업 소식,18시간 전,그것을 그대로 도깨비에 녹여 도깨비를 수집~ 다양한 재미를 얻을 수 있게~ 그리고 그 스케일이 또 넘사라서 아기자기한 즐거움도 있겠지만 전투 부분도 많이 기대가 된다 센스까지도 있는 도깨비!! 펄어비스 찬양하라...
3,펄어비스 도깨비 실제 플레이 영상(해외 유저 반응) & 주식 떡상한 게임,19시간 전,펄어비스의 도깨비 영상을 유심히 살펴보면 캐릭터의 머리카락이 하나씩 움직이거나 옷이 따로 움직이는 등의 모션이 매우 디테일하다는걸 느낄 수 있다. 앞서 말했듯 국내 유일의 자체 개발한 엔진을 사용했기 때문에...
4,펄어비스 신작 '도깨비' 국산 게임 이거 느낌이 상당히 좋은데?,4일 전,"마치 GTA가 포켓몬을 만난 것 같다."" - 캐나다 게임 웹진 Game Rant 펄어비스의 도깨비 미래가 밝다! 잘만 나와주면 한정판도 질러준다. 이렇듯 펄어비스가 발표한 신작 도깨비는 전 세계 게이머들을 깜짝 놀라게 했는데..."
5,"펄어비스 도깨비 게임 트레일러 공개, 해외 반응이 심상치 않은 DokeV",3일 전,"펄어비스 도깨비 해외 반응 게임스컴에서 공개되었던 게임플레이 트레일러인데요. 이틀이 지난 시점에서 무려 조회수 450만을 기록할 정도로 반응이 뜨거운 것을 확인할 수 있습니다. 댓글은 한국어 50%, 영어 48..."
6,"펄어비스의 ‘도깨비’, 국내외에서 호평받으며 세계의 기대작으로 떠올라",4일 전,‘도깨비’를 통해 많은 사용자들이 펄어비스가 제작한 게임을 즐기기를 희망한다’고 말했다.트레일러를 통해 공개된 게임은 개성적인 도깨비와 넓은 오픈월드 세계 속을 탐험하는 모습을 담았다. 보스와의 시원한...
7,트레일러 하나로 주가 떡상한 펄어비스 신작 '도깨비' 관련 정보 살펴보기,2일 전,"이번 펄어비스 신작 도깨비 트레일러를 보고 개발자들은 물론이고 Forbes, IGN 등 해외 유명 미디어들도 전부 극찬을 아끼지 않았는데, 그중에 가장 인상적이었던 말은 캐나다 게임웹진 Game Rant의 의견이었습니다. 'looks like..."
8,펄어비스 도깨비 개발자가 밝힌 도깨비의 재미포인트,21시간 전,펄어비스 도깨비 개발자가 밝힌 도깨비의 재미포인트 하필 펄어비스 도깨비의 영상이 공개된 날이 공교롭게도 블레이드앤소울2의 오픈날짜와 겹치면서 두 게임에 대한 극명한 희비가 엇갈렸습니다. 도깨비에는 엄청난...
9,[펄 어비스의 도깨비 (Dokev)] 무엇이 유저들의 마음을 흔드는가?,2일 전,펄어비스는 '도깨비'를 '메타버스 오픈월드 수집형 액션 어드벤처 게임'라고 발표했다. 왜 굳이 '메타버스'를 붙인걸까. '오픈월드 수집형 액션 어드벤처 게임' 만으로도 충분히 장르는 완성된다. 그런데 왜 '메타버스'를...
10,펄어비스 도깨비 트레일러 영상 공개로 엄청난 일들이 있었죠? 출시일이 기대되네요,4일 전,예전부터 관심을 많이 가지고 있었던 게임 중에 하나인 펄어비스 도깨비!! 오늘 드디어 트레일러 영상이 공개가 되었죠?? 솔직히 붉은사막도 있고 플랜8도 있고 해서 도깨비에 대해서 정말 큰 기대는 하지 않고 아이들이...
11,펄어비스 신작 도깨비 트레일러 공개,5일 전,배경이 한국 느낌이 많이 나는 게임이네요 돌아다니기만 해도 재미있을것 같습니다 붉은사막 개발하는 도중에 이런건 또 언제 만들었는지 대단하네요. ㅎㅎㅎ 펄어비스가 꽤나 개발 인력이 많은가봅니다.
12,"펄어비스 도깨비, 갓 오브 워 디렉터가 ""당장 해보고 싶어!"" 극찬했다",5일 전,"대표적으로 펄어비스 <도깨비> 트레일러에 <갓 오브 워>의 디렉터가 극찬했다. <갓 오브 워> 시리즈를 개발한 SIE 산타 모니카 스튜디오의 코리 발록 디렉터는 26일 오전, 자신의 트위터에 <도깨비> 트레일러에 대한 소감을..."
13,"[코너의 게임블로그]펄어비스, 도깨비는 MMO 게임이 아닌 오픈월드 액션 어드벤처 게임이다.",2일 전,"△도깨비 게임스컴 2021 월드프리미어 게임플레이 트레일러 영상 (유튜브2160p4K) △도깨비 첫 공식 발표 트레일러 영상 (유튜브2160p4K) 해당 펄어비스의 도깨비 신규 게임플레이 트레일러/오버뷰 영상, 게임 관련 신규..."
14,펄어비스에서 만들고 있다는 도깨비 기대되네요.,4일 전,https://www.youtube.com/watch?v=FaRbQHlegaM&t=66s 펄어비스가 개발중인 도깨비라는 게임 트레일러를 어제 공개했는데. 제대로만 나오면 대박나겠다는 생각이 드네요. 아직 개발중이라 확정된게 아니어서 그런지...
15,"펄어비스의 야심작 도깨비, 게임에 진심을 담은 모습이 감동적!",5일 전,"전 펄어비스가 그런 회사 중 하나라고 생각이 드는데요. 검은사막을 할 때부터 예사롭지 않았지만, 이번에 공개된 도깨비라는 게임은 더 대박이더군요. 게임 트레일러 영상이 공개되었는데, 솔직히 눈물이 나올..."
16,펄어비스 도깨비 신규 트레일러 영상 공개 기대되는 이유는,3일 전,이번에 펄어비스 도깨비의 월드 프리미어 게임플레이 트레일러 영상이 공개된 게임쇼로는 게임스컴으로 흔히 말하는 세계 3대 게임쇼에 포함되며 유럽을 대표하고 있는 게임쇼이기도 합니다. 그래서인지 해외 게이머들...
17,검은사막 개발사 펄어비스 2022년 풍년! 붉은사막에 도깨비(Dokev) 까지! 출시 소식,17시간 전,많은 게임 리뷰를 하면서 게임의 흥행척도를 어느정도 가늠해 볼 수 있는데 펄어비스의 붉은사막과 도깨비 같은 경우는 검은사막 그 이상의 실적을 보여줄것으로 기대중이다. 펄어비스의 현 대표작이라 할 수 있는...
18,"펄어비스 도깨비 트레일러 국산 게임의 가능성, 오픈월드 액션 어드벤쳐",4일 전,펄어비스 도깨비의 트레일러를 확인한 게임 전문 스트리머들과 일반 유저들 모두 굉장히 찬사를 보내며 한국에서도 이런 게임이 만들어지고 있다는 사실에 환호하고 있는데 출시일 후의 반응을 떠나서 '우리 나라에서도...
19,"한국 느낌 물씬 나는 세계, 펄어비스 도깨비 게임스컴 영상",5일 전,"▲ 도깨비 공식 게임플레이 트레일러 (영상출처: 도깨비 공식 유튜브) 도깨비는 펄어비스 자체 엔진을 기반으로 한 신작으로, 현실 같은 가상세계를 구현해 그 안에서 문화 체험, 소셜, 경제활동 등을 즐기는 메타버스..."
20,[게임 캡처] 게임스컴에서 난리 난 펄어비스 신작 '도깨비(Dokev)' 트레일러 심층 분석,5일 전,펄어비스 '도깨비(Dokev)' 트레일러 2021 지금부터 스샷으로 하나씩 분석해봄 (게임 ㅈ문가 주의. 딴지 환영) 돌 위에 돌을 쌓고 기도를 하는 캐릭터가 나온다. '도깨비'라는 이름에 맞게 '주술적 행위'를 하는 것으로 보임 3인칭...
21,펄어비스 ‘도깨비’ 신규 영상 공개 등 게임스컴 오프닝 정리,5일 전,한국 업체 신작 중에서 가장 주목할 만한 것은 펄어비스의 ‘도깨비’였다. 도깨비는 주인공이 도깨비를 찾아 떠나는 모험을 독특한 세계관으로 풀어낸 도깨비 수집형 오픈월드 액션 어드벤처...
22,펄어비스 신작 도깨비(DokeV) 플레이 트레일러 공개소감,4일 전,"현재 펄어비스 개발중인 게임이 도깨비,PLAN8,붉은사막인데 플랜8은 과연 개발중인지 의문일 정도로 물음표 상황이며 붉은사막은 지난달 공식적으로 발매연기(미정)를 인정했잖아요? 하지만 게임쟁이 입장에서, '그래도..."
23,펄어비스 신작 도깨비. BM은 어떻게 나올까?,4일 전,기본적인 BM 방향성 펄어비스는 도깨비 게임을 통해 새로운 IP구축을 목표로 하고 있습니다. 따라서 성능보다는 감성에 집중하지 않을 것으로 예상됩니다. IP랑 감성이 무슨 상관이냐? 성능이 강조되다보면 각 유저들이...
24,"펄어비스 도깨비, 이게 게임이지! 트레일러 영상보고 소름돋는 건 처음인듯! 신작 출시일은?",4일 전,신작 발매 예정 게임 펄어비스 도깨비 다양한 게임 소식을 전해드리는 꿈의왈츠입니다. 그 어떤 표현으로 대신할 수는 없을 것 같아 먼저 트레일러 영상부터 공유하겠습니다. 아마 모든분들이 끝까지 보셨을거라 생각이...
25,펄어비스의 게임 도깨비 트레일러 영상 공개 및 정보 안내,5일 전,"설치하는 등 전투 외적인 미니게임도 등장할것으로 보입니다. 출시일은 아직 미정이며 붉은사막 이후 출시할것으로 예상됩니다. #도깨비 #게임도깨비 #펄어비스 스포츠게임, 콘솔게임 & 애플소식 전문 인플루언서 용군입니다."
26,"펄어비스 '도깨비' 급등, 엔씨소프트 '블소2' 급락",5일 전,"펄어비스는 현재 '검은사막' 하나의 게임만을 운영하는 회사이고, 출시 예정인 신작 '붉은사막' 역시 검은사막의 IP를 활용한 것이다. 그러나 오늘 처음으로 검은사막과 관련 없는 새로운 게임인 '도깨비'의 게임..."
27,펄어비스 도깨비 인게임 플레이영상 공개 후 주가 파멸적 상승,5일 전,△ 펄어비스 주가 본업을 잘하면 주가가 상승합니다. 붉은사막의 일정이 조금 연기된 거 같지만 도깨비가 굉장히 호반응이네요. 저의 심장도 뛰구요;; △ 엔씨소프트 주가 마찬가지로 오늘 교훈을 준 게임주...
28,게임스컴에서 공개된 펄어비스 '도깨비'. 새로운 메타버스에 전세계 환호,5일 전,질문 및 추천관련글은 질문게시판을 이용해주세요 출처 - 게임스컴에서 공개된 펄어비스 '도깨비'. 새로운 메타버스에 전세계 환호 (daum.net) 게임스컴에서 공개된 펄어비스 '도깨비'. 새로운 메타버스에 전세계 환호...
29,펄어비스 PC게임 도깨비 뜨거운 반응 메이플 자리 꿰찰듯,3일 전,펄어비스 도깨비 개발자들은 하나같이 이런 말을 하더라고요. 남녀노소 관계 없이 누구나 즐길 수 있는 그런 게임이 될 것이라고요. 동물의 숲을 보면 도깨비 또한 크게 성공할 수 있는 요인이 충분하지 않을까 생각해요....
30,펄어비스 도깨비 터질줄 알았지만? 왜 이제서야?,어제,엔씨를 살바에 펄어비스를 사겠다. (4월24일 과거에 올린 글) (4월24일 과거에 올린글) 5월10일에 올린 저의 댓글 8월 26일 도깨비 트레일러 <2021년 8월26일자 트레일러 임팩트 있는 장면> 2021년 8월26일자 트레일러에서는...
31,"[공유,타겜]펄어비스 신작 도깨비",5일 전,"https://youtu.be/FaRbQHlegaM 도깨비와 사람들이 함께 살아가는 새로운 세상, DokeV! gamescom 2021: Opening Night Live에서 새롭게 공개된 게임 플레이 트레일러를 통해 귀여운 도깨비 친구들과 신비로운 세상을 만나보세요...."
32,"한국 게임의 희망, 펄어비스 도깨비 트레일러 영상!",2일 전,펄어비스가 국제 게임쇼 게임스컴에서 신작 게임 '도깨비'의 트레일러를 공개했습니다. 사실 한국 게임에 손을 놓은지 오래된 게이머 입장에서 별 기대 없이 봤다가 눈을 번쩍뜨게(!!) 되었는데요. 2014년에 마지막으로...
33,"Ð 게임이야기 - 펄어비스 신작 '도깨비(DokeV)' 가장 한국적인 게임이 드디어 등장, 행복 회로 풀가동!",4일 전,"8월 26일, 게임스컴 스트리밍을 통해서 발표된 국내 제작사 펄어비스의 신작 '도깨비'의 오피셜 트레일러이자, 게임플레이 트레일러입니다. 국내 뿐만 아니라, 해외에서 역시 많은 호평을 받은 영상으로 등극한 이 영상으로..."
34,엔씨 vs 펄어비스,5일 전,블소2를 공개한 엔씨와 도깨비를 공개한 펄어비스의 차이...
35,근데 진짜 펄어비스 ㅇ도깨비 개갓껨일꺼같음 ㅇㅇ,4일 전,작년 12월에 중국판호소식 듣고 펄어비스에서 컴투스로 주식 갈아 타지만 않았어도..... 그래도 나는 원금 9천에서 시작했으니까 아직 손실이 아니다 라며 정신승리를 마치고 거던으로 룬 파밍이나 돌러감 ㅅㄱ ps. 사실...
36,도깨비 - 게임플레이 트레일러 | 펄어비스 신규 IP,5일 전,아기자기한 그래픽과 게임 플레이를 보여주는 도깨비는 펄어비스가 개발한 게임엔진으로 개발되고 있습니다. 게임 이름이 순 우리말인 만큼 인게임 내에서 한국적인 모습을 보여주는 배경이 많습니다. 세계 시장을 노리고...
37,[정보] 펄어비스의 도깨비 플레이 영상 공개,5일 전,펄어비스의 신작 도깨비 게임플레이 영상이 공개되었습니다. 와~ 붉은사막도 대단했지만 도깨비도 엄청난데요?? 그래픽도 대단하고 도시전경이 매우 훌륭하네요.게임성은 영상만 봐서는 잘 모르겠지만 액션성이 있는듯?...
38,"[게임 소식] 펄어비스의 국산 게임, '도깨비' 트레일러 영상 공개!!",5일 전,"오늘 새벽에 8월 26일 게임스컴(gamescom)에서 공개된 펄어비스의 국산 게임 신작, 도깨비(DokeV) 신 트레일러 영상이 공개되었습니다! 펄어비스는 국내 게임 회사로, PC게임, 검은사막 으로 유명한 기업입니다!! 트레일러..."
39,펄어비스 게임스컴서 신작 게임 ‘도깨비’ 게임 트레일러 공개 DokeV 국내 해외 네티즌 반응 와우 게임에...,5일 전,아래는 펄어비스 도깨비 트레일러 관련 외국인들의 리액션 영상입니다. 아래는 Youtube에서 도깨비를 DokeV를 검색 시 상단에 나오는 동영상들에 상단에 달린 댓글들 입니다. 대부분 게임이 재밌어 보인다와...
40,미쳐버린 펄어비스와 NC소프트의 주가(도깨비 트레일러 공개/블소2 오픈),5일 전,"세계 3대 게임쇼 독일 게임스컬2021 행사에서 펄어비스가 일을 냈다. 이게 게임 트레일러 영상이다. 트레일러... 펄어비스 직원수는 870명이고 이 게임의 연관된 사람이 몇백명 있을 텐데, 이렇게 대단해 보이는 게임이..."
41,펄어비스 도깨비 영상봤음,4일 전,진짜 퀄 미쳤다 3마리 도깨비 검은사막에서 본 기분인데...?ㅋㅋ 맵퀄은 진짜 잘 뽑네 도깨비마다 플레이어랑 같이 사용하는 스킬이 따로 있나보네 활 축구 마술 다양하다 기대가 된다
42,펄어비스 도깨비 보니까,21시간 전,요즘 펄어비스 주식이 뻥튀기 된 게 다 이 도깨비 때문이란 말이 많을 정도로 이슈인데 코리안 이스터 에그라고 트레일러 속에 해태도 나오고 연도 나오고 의상중에 심지어 조선시대에 왕이 입던 어포 같은것도...
43,기대되는 펄어비스 신작 '도깨비',3일 전,펄어비스의 신작 <도깨비> 한국적인 배경이 스며든것도 너무 좋고 아직 공개된건 적으나 몬스터 수집 요소나 여러가지 즐길거리가 보이네요. 과하지 않게 사실적인 한국 배경이 너무 이쁩니다. 개인적으로 이번...
44,펄어비스 도깨비(Dokev) 트레일러 게임스컴에서 공개!,5일 전,펄어비스 도깨비(Dokev) 트레일러 게임스컴에서 드디어 공개! 붉은 사막은 아직 추가영상은 안보이네요! 외국인 반응은 검은사막 포켓몬이다! 갓겜 기대된다! 이런 느낌입니다 ㅋㅋ 개인적인 평은 당연히 기대됩니다...
45,도깨비 (DokeV) 월드 속으로 : 게임 오버뷰 (Game overview),2일 전,⭐ 도깨비 공식 채널: https://dokeV.pearlabyss.com https://www.facebook.com/DokeVGameKR https://www.twitter.com/DokeVGame https://www.instagram.com/DokeVGame #DokeV #펄어비스 #Gamescom #도깨비 펄어비스 소개 2010년에 설립된...
46,"겜돌이였던 내 마음을 두근거리게 한 펄어비스의 도깨비(DoKeV), 그리고 주가 25% 폭등",5일 전,포화란 (출처 : 엔씨소프트) 오늘 육아 퇴근 후 주식 시장이 어떻게 됐나 보는데 펄어비스 주가가 25%나... 영상이 공개된 후 펄어비스 주가가 폭등을 했지요. 저도 독일 게임 쇼에서 발표된 영상을 새벽에 봤다면 아침에...
47,느낌이 좋아 / 신작게임 도깨비(DoKeV) 선보인 펄어비스,5일 전,정말 남녀노소 모두 좋아할 만한 ~ 이대로라면 #펄어비스 주가도 계속 성장할 듯 역시나 오늘 25.57%상승 엔씨소프트도 어두침침 리니지 말고 이런 새로운 장르 좀 나와주길~ #펄어비스 #도깨비 #DoKev #메타버스
48,도깨비 겜 진짜 장난아니네여,4일 전,도깨비 도깨비 그러길래 찾아보니까 펄어비스에서 만들고 잇는 겜이던데 장난아닌듯. 근데 온라인은 아니라고 하던거 같던데 그래도 퀄이 ㄷㄷ하네여. 비슷한 시간대에 엔모씨는 똥 푸짐하게 싸는거 같던데 ㅋㅋㅋㅋ...
49,공개되고 난리난 메타버스 게임 [도깨비 DokeV] 게임플레이 영상 : 펄어비스 : 오픈월드 액션 어드벤쳐...,5일 전,공개된 펄어비스 '도깨비' 게임 플레이 영상/ DokeV 펄어비스에서 개발 및 배급하는 3인칭 오픈월드 액션 어드벤처 게임. (초창기에 MMO로 기획되었으나 변경되었다고 한다) 주인공이 도깨비를 찾아 모험을...
50,펄어비스 신작게임 도깨비 PV,5일 전,한국의 전래동화중 하나인 도깨비를 컨셉잡은거 너무 대박인듯 흥해라 펄어비스!!! 갑자기 펄업의 검은사막 노역이라 지겹단소릴 들어도 플레이하고 있다는게 뿌듯해지는거 같네ㅋㅋㅋ
51,[타겜] 도깨비,5일 전,"펄어비스에서 제작하고 플랫폼은 콘솔,모바일,PC라는것 같아요. 도깨비들 수집하는 게임 같은데 그래픽 잘뽑혔네요. 포켓몬도 이런 그래픽으로 나오는 날이 왔으면 좋겠어요."
52,펄어비스 도깨비 트레일러 느낀 점,4일 전,"딱봐도 룩딸도 무궁무진 해보이고 탈것도 넘치고 도깨비(펫 같은 느낌)도 다양하고 그냥 한마디로 요약하면 ㅈㄴ 재밌어보인다. 10대, 20대, 30대 남,여 모두 사로잡을 수 있는 게임인 듯. 펄어비스 화이팅!!!"
53,"펄어비스, 신작 게임 '도깨비' 트레일러 출시자마자 주가 30% 상승",4일 전,이번 펄어비스 신작 도깨비에도 자체 엔진이 들어간 것으로 알고있습니다 게임개발 뿐만 아니라 엔진개발에도 얼마나 많은 노력과 정성이 들어갔을지 감히 상상도 못할 것 같네요 트레일러 반응을 살펴보면 '미쳤다...
54,펄어비스 도깨비 출시일 추측 신작 관련정보,5일 전,"펄어비스 도깨비, 메타버스 게임일까? 대놓고 오픈월드 게임이라는 것은 알겠습니다. 그렇다면 펄어비스 도깨비는 메타버스 게임일까요? 최근 네이버 제페토나 로블록스 등 메타버스 플랫폼 게임이 인기를 얻고 있는..."
55,"도깨비 게임 (Dokev) 영상하나로 펄어비스 주가상승 마퓨레, 블소2는 주가하락",5일 전,펄어비스에서 개발중인 게임 도깨비(Dokev) 화이팅입니다. 이번에 공개된 영상은 위▲에서 확인하실수 있습니다. #펄어비스 #도깨비 #Dokev #마퓨레 #블소2 #엔씨소프트 #넷마블
56,"펄어비스, '도깨비'는 GTA + 포켓몬이다.",5일 전,"반응형 [게임소식] 펄어비스, '도깨비'는 GTA + 포켓몬이다. 8월 26일(한국시간) 게임스컴 2021에서 새로운 트레일러를 공개한 펄어비스의 신작 게임 '도깨비'가 국내는 물론 전 세계 게이머들에게 화제를 불러 모으고..."
57,"펄어비스 도깨비, 엔씨소프트 블소2 주가 상승과 하락.",5일 전,오늘 펄어비스의 도깨비를 보니 같은 그래픽으로 '포켓몬'을 만들면 역대 게임 최다 판매량을 찍지 싶은데 능력이 없으면 '펄어비스'에 외주 어떤신지. 한국의 '리니지'나 일본의 '포켓몬'이나 열혈한 팬들이 무한한 지지를...
58,와 아직 k게임 안죽었네요.,5일 전,출시하는 붉은사막도 기대작이였는데 도깨비도 기대할만한거 같습니다. 플랫폼도 콘솔로도 출시한다고 하니깐 나오면 무조건 구매각!!! DOKEV(도깨비) 발표후에 펄어비스 주가 급등했다던데...펄어비스 주식을 샀어야햇어.....
